Topic,Words,Frequency,Timestamp
-1,"to, in, the, of, iran",3050,2019-12-31 00:19:13.393999872
0,"wuhan, china, coronavirus, virus, outbreak",735,2019-12-31 00:19:13.393999872
1,"israel, peace plan, plan, palestinian, peace",125,2019-12-31 00:19:13.393999872
2,"putin, russia, ukraine, russian, constitution",31,2019-12-31 00:19:13.393999872
3,"vaccine, coronavirus vaccine, scientific officer, can create coronavirus, create coronavirus vaccine",10,2019-12-31 00:19:13.393999872
4,"police, paris, in, protest, man",51,2019-12-31 00:19:13.393999872
5,"brexit, johnson, boris, boris johnson, uk",146,2019-12-31 00:19:13.393999872
6,"coronavirus, uk, virus in, confirmed in, cases",12,2019-12-31 00:19:13.393999872
7,"space, spacex, nasa, earth, the",73,2019-12-31 00:19:13.393999872
8,"taliban, peace deal, afghanistan, government afloat, says islamic states",3,2019-12-31 00:19:13.393999872
9,"china, chinese, trade, us, xi",61,2019-12-31 00:19:13.393999872
10,"hong, kong, hong kong, police, in hong",59,2019-12-31 00:19:13.393999872
11,"north, korea, kim, north korea, korean",51,2019-12-31 00:19:13.393999872
12,"taiwan, tsai, tsai ingwen, ingwen, china",48,2019-12-31 00:19:13.393999872
14,"india, in india, muslims, case, can be treated",34,2019-12-31 00:19:13.393999872
15,"turkey, turkish, libya, erdogan, greece",49,2019-12-31 00:19:13.393999872
16,"masks, facial recognition, facial, recognition, mask",46,2019-12-31 00:19:13.393999872
17,"coronavirus, confirmed, case, cases, of coronavirus",96,2019-12-31 00:19:13.393999872
18,"impeachment, trump, impeachment trial, trump impeachment, trial",131,2019-12-31 00:19:13.393999872
19,"belarus, lock arms, russia turns off, lithuania lock, lithuania lock arms",4,2019-12-31 00:19:13.393999872
20,"saudi, arabia, saudi arabia, yemen, khashoggi",48,2019-12-31 00:19:13.393999872
21,"climate, climate change, change, emissions, global",80,2019-12-31 00:19:13.393999872
22,"dow, global, imf, economy, points",37,2019-12-31 00:19:13.393999872
23,"hackers, hacked, cyber, microsoft, cyberattack",64,2019-12-31 00:19:13.393999872
24,"facebook, ads, zuckerberg, political ads, whatsapp",23,2019-12-31 00:19:13.393999872
25,"bolsonaro, brazil, culture, goebbels, culture minister",22,2019-12-31 00:19:13.393999872
26,"hungary, poland, polish, gay, the",8,2019-12-31 00:19:13.393999872
27,"pope, francis, church, pope francis, catholic",41,2019-12-31 00:19:13.393999872
